date,Coal,Gas,Nuclear,Renewables
1996,33.6,17.4,22.2,1.1
1997,28.3,21.7,22,1.4
1998,29.9,23,23.4,1.6
1999,25.5,27.1,22.2,2
2000,28.7,27.9,19.6,2.1
2001,31.6,26.9,20.8,2.3
2002,29.6,28.4,20.1,2.6
2003,32.5,27.9,20,2.8
2004,31.3,29.3,18.2,3.4
2005,32.6,28.5,18.4,4.1
2006,35.9,26.8,17.1,4.3
2007,32.9,30.6,14,4.3
2008,30,32.4,11.9,4.5
2009,24.7,30.9,15.2,5.1
2010,25.6,32.4,13.9,5.5
2011,26,26.6,15.6,6.5
2012,34.3,18.6,15.2,7.3
2013,31.3,17.7,15.4,8
2014,24,18.7,13.9,9.7
2015,18.3,18.3,15.5,12
2016,7.5,25.6,15.4,12.3
2017,5.6,24.6,15.1,13.8
2018,4.2,23.5,14.1,15.4
2019,1.9,23.5,12.1,16
2020,1.5,20,10.7,17.3
2021,1.7,21.8,9.9,16.7
2022,1.4,22.2,10.4,17.4
